724666,DENVER/CENTENNIAL [GOLDEN - NREL],CO,-7,39.742,-105.179,1829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
1/1/1999,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,8,E,9,-3,A,7,-4,A,7,92,A,7,806,A,7,0,A,7,0,A,7,16100,A,7,3300,A,7,0.9,E,8,0.031,F,8,0.33,F,8,-9900,-9900,?,0
1/1/1999,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,A,7,-3,A,7,-6,A,7,77,A,7,806,A,7,170,A,7,2.1,A,7,16100,A,7,3000,A,7,0.9,E,8,0.031,F,8,0.33,F,8,-9900,-9900,?,0
1/1/1999,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,8,E,9,-4,A,7,-7,A,7,77,A,7,807,B,8,250,B,8,1.5,A,7,16100,A,7,3000,A,7,0.9,E,8,0.031,F,8,0.33,F,8,-9900,-9900,?,0
1/1/1999,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2,A,7,-5,A,7,78,A,7,807,A,7,330,A,7,1.5,A,7,16100,A,7,2700,A,7,0.9,E,8,0.031,F,8,0.33,F,8,-9900,-9900,?,0
1/1/1999,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2,A,7,-4,A,7,85,A,7,808,A,7,240,A,7,3.6,A,7,12900,A,7,1080,A,7,1,E,8,0.031,F,8,0.33,F,8,0,1,A,7
1/1/1999,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-1,A,7,-2,A,7,92,A,7,809,B,8,0,A,7,0,A,7,1200,A,7,150,A,7,0.9,E,8,0.031,F,8,0.33,F,8,-9900,-9900,?,0
1/1/1999,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-1,A,7,-1,A,7,100,A,7,810,B,8,270,A,7,2.6,A,7,1600,A,7,480,A,7,0.9,E,8,0.031,F,8,0.33,F,8,-9900,-9900,?,0
1/1/1999,8:00,41,861,4,2,9,119,2,21,2,2,9,906,2,9,6725,2,21,559,2,9,79,2,25,10,E,9,10,E,9,-1,A,7,-1,A,7,100,A,7,811,A,7,260,A,7,2.1,A,7,1600,A,7,480,A,7,0.9,E,8,0.031,F,8,0.33,F,8,0,1,A,7
1/1/1999,9:00,242,1415,178,2,9,480,2,21,95,2,9,17449,2,9,32960,2,21,11774,2,9,1860,2,25,9,E,9,8,E,9,0,A,7,-1,A,7,92,A,7,813,A,7,240,A,7,2.6,A,7,6400,A,7,1500,A,7,0.9,E,8,0.031,F,8,0.33,F,8,-9900,-9900,?,0
1/1/1999,10:00,429,1415,49,2,9,0,2,21,49,2,9,5871,2,9,0,2,21,5871,2,9,2108,2,25,10,E,9,10,E,9,2,A,7,-1,A,7,80,A,7,815,A,7,280,A,7,2.6,A,7,16100,A,7,1500,A,7,0.9,E,8,0.031,F,8,0.33,F,8,-9900,-9900,?,0
1/1/1999,11:00,563,1415,431,2,9,654,2,21,169,2,9,44097,2,9,62425,2,21,19149,2,9,3410,2,25,10,E,9,10,E,9,2,A,7,-1,A,7,80,A,7,815,A,7,10,A,7,4.6,A,7,16100,A,7,1500,A,7,0.9,E,8,0.031,F,8,0.33,F,8,0,6,A,7
1/1/1999,12:00,635,1415,326,2,9,296,2,21,193,2,9,34655,2,9,30037,2,21,21116,2,9,4256,2,25,8,E,9,8,E,9,1,A,7,-2,A,7,79,A,7,815,B,8,10,A,7,7.2,A,7,16100,A,7,1500,A,7,0.8,E,8,0.031,F,8,0.33,F,8,-9900,-9900,?,0
1/1/1999,13:00,640,1415,255,2,9,96,2,21,212,2,9,28023,2,9,9483,2,21,23716,2,9,5980,2,25,10,E,9,10,E,9,3,A,7,-3,A,7,63,A,7,816,A,7,360,A,7,6.2,A,7,16100,A,7,810,A,7,0.8,E,8,0.031,F,8,0.33,F,8,-9900,-9900,?,0
1/1/1999,14:00,577,1415,160,2,9,12,2,21,155,2,9,18096,2,9,900,2,21,17727,2,9,5938,2,25,10,E,9,10,E,9,2,A,7,-4,A,7,62,A,7,816,A,7,20,A,7,7.2,A,7,16100,A,7,960,A,7,0.8,E,8,0.031,F,8,0.33,F,8,0,1,A,7
1/1/1999,15:00,452,1415,59,2,9,0,2,21,59,2,9,7007,2,9,0,2,21,7007,2,9,2516,2,25,10,E,9,10,E,9,1,A,7,-4,A,7,67,A,7,817,A,7,20,A,7,7.2,A,7,12900,A,7,840,A,7,0.8,E,8,0.031,F,8,0.33,F,8,0,1,A,7
1/1/1999,16:00,272,1415,51,2,9,0,2,21,51,2,9,5821,2,9,0,2,21,5821,2,9,1885,2,25,10,E,9,10,E,9,1,A,7,-4,A,7,67,A,7,817,A,7,360,A,7,5.1,A,7,16100,A,7,1020,A,7,0.8,E,8,0.031,F,8,0.33,F,8,0,1,A,7
1/1/1999,17:00,62,1073,18,2,9,170,2,21,12,2,9,2390,2,9,7964,2,21,1886,2,9,227,2,25,10,B,8,10,B,8,0,B,8,-3.9,B,8,72,A,7,817,B,8,10,B,8,5.4,B,8,-9900,?,0,885,B,8,0.8,E,8,0.031,F,8,0.33,F,8,-9900,-9900,?,0
1/1/1999,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-1,A,7,-4,A,7,78,A,7,818,A,7,10,A,7,5.7,A,7,12900,A,7,750,A,7,0.8,E,8,0.031,F,8,0.33,F,8,0,1,A,7
1/1/1999,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2,A,7,-6,A,7,71,A,7,818,B,8,360,A,7,5.1,A,7,14500,A,7,750,A,7,0.7,E,8,0.031,F,8,0.33,F,8,-9900,-9900,?,0
1/1/1999,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-4,A,7,-8,A,7,71,A,7,818,A,7,20,A,7,8.2,A,7,14500,A,7,480,A,7,0.7,E,8,0.031,F,8,0.33,F,8,0,1,A,7
1/1/1999,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-5,A,7,-7,A,7,84,A,7,818,A,7,10,A,7,5.1,A,7,2800,A,7,330,A,7,0.7,E,8,0.031,F,8,0.33,F,8,0,1,A,7
1/1/1999,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-6,A,7,-6,A,7,100,A,7,818,A,7,10,A,7,3.6,A,7,1200,A,7,210,A,7,0.7,E,8,0.031,F,8,0.33,F,8,0,1,A,7
1/1/1999,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-7,A,7,-9,A,7,84,A,7,818,B,8,30,A,7,6.7,A,7,1200,A,7,150,A,7,0.7,E,8,0.031,F,8,0.33,F,8,-9900,-9900,?,0
1/1/1999,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-7,A,7,-9,A,7,84,A,7,817,B,8,30,A,7,6.7,A,7,1200,A,7,150,A,7,0.7,E,8,0.031,F,8,0.33,F,8,-9900,-9900,?,0
1/2/1999,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-9,A,7,-11,A,7,84,A,7,816,A,7,0,A,7,0,A,7,1600,A,7,420,A,7,0.6,E,8,0.031,F,8,0.33,F,8,0,1,A,7
1/2/1999,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,-10,A,7,-11,A,7,91,A,7,816,A,7,0,A,7,0,A,7,6400,A,7,600,A,7,0.6,E,8,0.031,F,8,0.33,F,8,0,1,A,7
1/2/1999,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-10,A,7,-11,A,7,91,A,7,816,A,7,0,A,7,0,A,7,6400,A,7,870,A,7,0.6,E,8,0.031,F,8,0.33,F,8,0,1,A,7
1/2/1999,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-11,A,7,-12,A,7,91,A,7,815,B,8,210,A,7,2.1,A,7,6400,A,7,780,A,7,0.6,E,8,0.031,F,8,0.33,F,8,-9900,-9900,?,0
1/2/1999,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-12,A,7,-13,A,7,91,A,7,814,A,7,180,A,7,2.6,A,7,6400,A,7,780,A,7,0.6,E,8,0.031,F,8,0.33,F,8,0,1,A,7
