Time,CAV_1:Des Heat Mass Flow [kg/s],CAV_1:Des Cool Mass Flow [kg/s],CAV_1:Des Heat Cap [W],CAV_1:Des Sens Cool Cap [W],CAV_2:Des Heat Mass Flow [kg/s],CAV_2:Des Cool Mass Flow [kg/s],CAV_2:Des Heat Cap [W],CAV_2:Des Sens Cool Cap [W],VAV_1:Des Heat Mass Flow [kg/s],VAV_1:Des Cool Mass Flow [kg/s],VAV_1:Des Heat Cap [W],VAV_1:Des Sens Cool Cap [W],VAV_2:Des Heat Mass Flow [kg/s],VAV_2:Des Cool Mass Flow [kg/s],VAV_2:Des Heat Cap [W],VAV_2:Des Sens Cool Cap [W] 
00:15:00,4.925575E+00,1.795181E+01,1.799504E+05,2.708325E+05,3.119425E+00,1.410469E+01,1.114303E+05,2.127575E+05,6.299337E+00,1.117183E+01,2.247969E+05,1.757812E+05,1.207459E+01,3.308402E+01,4.158672E+05,5.547535E+05 
00:30:00,4.925623E+00,1.795181E+01,1.799502E+05,2.700437E+05,3.119695E+00,1.410469E+01,1.114330E+05,2.122755E+05,6.303065E+00,1.117027E+01,2.248096E+05,1.747669E+05,1.208552E+01,3.307821E+01,4.159260E+05,5.528646E+05 
00:45:00,4.925666E+00,1.795181E+01,1.799500E+05,2.692550E+05,3.119936E+00,1.410469E+01,1.114355E+05,2.117935E+05,6.306566E+00,1.117171E+01,2.248255E+05,1.738049E+05,1.209604E+01,3.307292E+01,4.159825E+05,5.509879E+05 
01:00:00,4.925705E+00,1.795181E+01,1.799499E+05,2.684663E+05,3.120155E+00,1.410469E+01,1.114378E+05,2.113115E+05,6.309798E+00,1.117402E+01,2.248407E+05,1.728581E+05,1.210615E+01,3.306804E+01,4.160368E+05,5.491206E+05 
01:15:00,4.925741E+00,1.795181E+01,1.799497E+05,2.679407E+05,3.120357E+00,1.410469E+01,1.114398E+05,2.109903E+05,6.312752E+00,1.117660E+01,2.248549E+05,1.722446E+05,1.211590E+01,3.306358E+01,4.160889E+05,5.478629E+05 
01:30:00,4.925774E+00,1.795181E+01,1.799496E+05,2.674152E+05,3.120545E+00,1.410469E+01,1.114418E+05,2.106691E+05,6.315583E+00,1.117937E+01,2.248688E+05,1.716345E+05,1.212529E+01,3.305944E+01,4.161390E+05,5.466119E+05 
01:45:00,4.925805E+00,1.795181E+01,1.799495E+05,2.668896E+05,3.120722E+00,1.410469E+01,1.114436E+05,2.103478E+05,6.318301E+00,1.118228E+01,2.248783E+05,1.710273E+05,1.213434E+01,3.305558E+01,4.161871E+05,5.453669E+05 
02:00:00,4.925835E+00,1.795181E+01,1.799494E+05,2.663639E+05,3.120889E+00,1.410469E+01,1.114453E+05,2.100266E+05,6.321009E+00,1.118533E+01,2.248876E+05,1.704226E+05,1.214306E+01,3.305196E+01,4.162335E+05,5.441269E+05 
02:15:00,4.925863E+00,1.795181E+01,1.799493E+05,2.659699E+05,3.121048E+00,1.410469E+01,1.114469E+05,2.097857E+05,6.323810E+00,1.118841E+01,2.248973E+05,1.699823E+05,1.215148E+01,3.304855E+01,4.162781E+05,5.431910E+05 
02:30:00,4.925890E+00,1.795181E+01,1.799492E+05,2.655757E+05,3.121199E+00,1.410469E+01,1.114485E+05,2.095448E+05,6.326613E+00,1.119149E+01,2.249070E+05,1.695423E+05,1.215960E+01,3.304531E+01,4.163211E+05,5.422587E+05 
02:45:00,4.925915E+00,1.795181E+01,1.799491E+05,2.651815E+05,3.121344E+00,1.410469E+01,1.114500E+05,2.093038E+05,6.329483E+00,1.119459E+01,2.249213E+05,1.691027E+05,1.216743E+01,3.304224E+01,4.163624E+05,5.413296E+05 
03:00:00,4.925940E+00,1.795181E+01,1.799490E+05,2.647873E+05,3.121483E+00,1.410469E+01,1.114514E+05,2.090629E+05,6.332412E+00,1.119769E+01,2.249360E+05,1.686633E+05,1.217499E+01,3.303932E+01,4.164023E+05,5.404034E+05 
03:15:00,4.925963E+00,1.795181E+01,1.799489E+05,2.643930E+05,3.121617E+00,1.410469E+01,1.114528E+05,2.088219E+05,6.335365E+00,1.120070E+01,2.249553E+05,1.682223E+05,1.218229E+01,3.303653E+01,4.164407E+05,5.394795E+05 
03:30:00,4.925986E+00,1.795181E+01,1.799488E+05,2.639986E+05,3.121746E+00,1.410469E+01,1.114541E+05,2.085809E+05,6.338330E+00,1.120361E+01,2.249749E+05,1.677797E+05,1.218933E+01,3.303385E+01,4.164777E+05,5.385576E+05 
03:45:00,4.926008E+00,1.795181E+01,1.799487E+05,2.636043E+05,3.121870E+00,1.410469E+01,1.114554E+05,2.083399E+05,6.341299E+00,1.120643E+01,2.249900E+05,1.673355E+05,1.219613E+01,3.303129E+01,4.165133E+05,5.376377E+05 
04:00:00,4.926029E+00,1.795181E+01,1.799486E+05,2.632099E+05,3.121990E+00,1.410469E+01,1.114566E+05,2.080989E+05,6.344261E+00,1.120915E+01,2.250052E+05,1.668897E+05,1.220270E+01,3.302883E+01,4.165477E+05,5.367195E+05 
04:15:00,4.925719E+00,1.795181E+01,1.799498E+05,2.629471E+05,3.120277E+00,1.410469E+01,1.114390E+05,2.079383E+05,6.347143E+00,1.135157E+01,2.250154E+05,1.689983E+05,1.220849E+01,3.313946E+01,4.165781E+05,5.381134E+05 
04:30:00,4.925344E+00,1.795181E+01,1.799512E+05,2.626833E+05,3.118204E+00,1.410469E+01,1.114176E+05,2.077773E+05,6.349610E+00,1.152721E+01,2.250242E+05,1.717302E+05,1.221362E+01,3.326573E+01,4.166049E+05,5.398472E+05 
04:45:00,4.924936E+00,1.795181E+01,1.799528E+05,2.624189E+05,3.115948E+00,1.410469E+01,1.113944E+05,2.076160E+05,6.352107E+00,1.172103E+01,2.250331E+05,1.747937E+05,1.221842E+01,3.339862E+01,4.166302E+05,5.417415E+05 
05:00:00,4.924505E+00,1.795181E+01,1.799544E+05,2.621541E+05,3.113570E+00,1.410469E+01,1.113698E+05,2.074545E+05,6.354578E+00,1.192481E+01,2.250419E+05,1.780443E+05,1.222297E+01,3.353721E+01,4.166541E+05,5.437656E+05 
05:15:00,4.924388E+00,1.795181E+01,1.799548E+05,2.624260E+05,3.112923E+00,1.410469E+01,1.113632E+05,2.076199E+05,6.357092E+00,1.527454E+01,2.250508E+05,2.331157E+05,1.222784E+01,3.647610E+01,4.166795E+05,5.841961E+05 
05:30:00,4.924320E+00,1.795181E+01,1.799551E+05,2.627006E+05,3.112552E+00,1.410469E+01,1.113594E+05,2.077864E+05,6.359984E+00,1.893857E+01,2.250610E+05,2.891715E+05,1.223292E+01,3.979837E+01,4.167062E+05,6.263264E+05 
